State	id	dynamism
Alabama	1	25.5
Alaska	2	31
Arizona	4	39.9
Arkansas	5	24.8
California	6	40.9
Colorado	8	44.9
Connecticut	9	24.6
Delaware	10	35.7
District of Columbia	11	26.8
Florida	12	45
Georgia	13	36.9
Hawaii	15	23.5
Idaho	16	39.4
Illinois	17	27.5
Indiana	18	22.6
Iowa	19	23.1
Kansas	20	28.4
Kentucky	21	27.9
Louisiana	22	28.7
Maine	23	27.2
Maryland	24	30.2
Massachusetts	25	25.6
Michigan	26	24
Minnesota	27	31.9
Mississippi	28	21.9
Missouri	29	34.6
Montana	30	35.9
Nebraska	31	26.8
Nevada	32	50.5
New Hampshire	33	26.4
New Jersey	34	34.9
New Mexico	35	28.3
New York	36	33.9
North Carolina	37	32.8
North Dakota	38	44
Ohio	39	21.3
Oklahoma	40	33.2
Oregon	41	33
Pennsylvania	42	22.1
Rhode Island	44	25.3
South Carolina	45	29.7
South Dakota	46	31.2
Tennessee	47	27
Texas	48	43.5
Utah	49	45.9
Vermont	50	25.3
Virginia	51	32.5
Washington	53	35
West Virginia	54	17.6
Wisconsin	55	23.8
Wyoming	56	38.4